Title,Genre,Rating,Price,UPC
A Light in the Attic,Poetry,Three,£51.77,a897fe39b1053632
Tipping the Velvet,Historical Fiction,One,£53.74,90fa61229261140a
Soumission,Fiction,One,£50.10,6957f44c3847a760
Sharp Objects,Mystery,Four,£47.82,e00eb4fd7b871a48
Sapiens: A Brief History of Humankind,History,Five,£54.23,4165285e1663650f
The Requiem Red,Young Adult,One,£22.65,f77dbf2323deb740
The Dirty Little Secrets of Getting Your Dream Job,Business,Four,£33.34,2597b5a345f45e1b
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,Three,£17.93,e72a5dfc7e9267b2
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,Four,£22.60,e10e1e165dc8be4a
The Black Maria,Poetry,One,£52.15,1dfe412b8ac00530
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,Two,£13.99,0312262ecafa5a40
Shakespeare's Sonnets,Poetry,Four,£20.66,30a7f60cd76ca58c
Set Me Free,Young Adult,Five,£17.46,ce6396b0f23f6ecc
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,Five,£52.29,3b1c02bac2a429e6
Rip it Up and Start Again,Music,Five,£35.02,a34ba96d4081e6a4
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,Three,£57.25,deda3e61b9514b83
Olio,Poetry,One,£23.88,feb7cc7701ecf901
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,One,£37.59,e30f54cea9b38190
Libertarianism for Beginners,Politics,Two,£51.33,a18a4f574854aced
It's Only the Himalayas,Travel,Two,£45.17,a22124811bfa8350
In Her Wake,Thriller,One,£12.84,23356462d1320d61
How Music Works,Music,Two,£37.32,327f68a59745c102
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,Three,£30.52,5674a18a29a43ced
Chase Me (Paris Nights #2),Romance,Five,£25.27,c2e46a2ee3b4a322
Black Dust,Romance,Five,£34.53,00bfed9e18bb36f3
Birdsong: A Story in Pictures,Childrens,Three,£54.64,9528d0948525bf5f
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,Three,£22.50,c7d160c2c0de586f
Aladdin and His Wonderful Lamp,Default,Three,£53.13,904208d6aa64b655
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,Five,£40.30,4c28def39d850cdf
Wall and Piece,Art,Four,£44.18,ccd9ffa25efabdea
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,Five,£17.66,6258a1f6a6dcfe50
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,Three,£31.05,3c039985229453bf
The Elephant Tree,Thriller,Five,£23.82,5dada2b7be26bd03
The Bear and the Piano,Childrens,One,£36.89,9f6568e9c95f60b0
Sophie's World,Philosophy,Five,£15.94,6be3beb0793a53e7
Penny Maybe,Default,Three,£33.29,668fe56b17cfcd4f
Maude (1883-1993):She Grew Up with the country,Default,Two,£18.02,094b269567e1c300
"In a Dark, Dark Wood",Mystery,One,£19.63,19ed25f4641d5efd
Behind Closed Doors,Thriller,Four,£52.22,be5cc846f45496fb
You can't bury them all: Poems,Poetry,Two,£33.63,55f9da0c5eea2e10
Slow States of Collapse: Poems,Poetry,Three,£57.31,b4fd5943413e089a
Reasons to Stay Alive,Nonfiction,Two,£26.41,c8f7f0cb1abb9cac
Private Paris (Private #10),Fiction,Five,£47.61,b12b89017878a60d
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,Five,£23.11,c27f6e1f185b0383
Without Borders (Wanderlove #1),New Adult,Two,£45.07,acddfeab2a407640
When We Collided,Contemporary,One,£31.77,3ecb690d1542c568
"We Love You, Charlie Freeman",Fiction,Five,£50.27,8d455c7539795d2a
Untitled Collection: Sabbath Poems 2014,Poetry,Four,£14.27,657fe5ead67a7767
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,Four,£44.18,d170b5a0da46380e
Unicorn Tracks,Fantasy,Three,£18.78,7ae099f3898e0209
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,One,£25.52,9a9d6e9bc555731e
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,One,£16.28,09555be379ad9253
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,Three,£31.12,7858914fad68493c
This One Summer,Sequential Art,Four,£19.49,51653ef291ab7ddc
Thirst,Fiction,Five,£17.27,709822d0b5bcb7f4
The Torch Is Passed: A Harding Family Story,Add a comment,One,£19.09,4eed62cf5f8d8edf
The Secret of Dreadwillow Carse,Childrens,One,£56.13,b5ea0b5dabed25a8
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,One,£56.41,142d767a56a9254d
The Past Never Ends,Mystery,Four,£56.50,5ee94540d0749ea0
